Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000f3m0,6,"Thursday, February  7, 2013 22:48:00 UTC",29.2528,142.0034,4.8,33.30,46,"Izu Islands, Japan region"
us,c000f3l3,6,"Thursday, February  7, 2013 21:56:24 UTC",-10.8926,165.6023,4.8,10.00,23,"Santa Cruz Islands"
us,c000f3kk,8,"Thursday, February  7, 2013 21:40:56 UTC",-10.9014,165.7376,5.1,25.50,64,"Santa Cruz Islands"
us,c000f3k8,4,"Thursday, February  7, 2013 21:38:25 UTC",-4.3774,142.9916,5.1,97.80,126,"New Guinea, Papua New Guinea"
us,c000f3jb,7,"Thursday, February  7, 2013 20:51:52 UTC",-10.8904,165.0677,4.9,10.00,34,"Santa Cruz Islands"
us,c000f3iy,7,"Thursday, February  7, 2013 20:45:18 UTC",-10.9088,165.7732,5.0,10.00,38,"Santa Cruz Islands"
us,c000f3im,5,"Thursday, February  7, 2013 20:41:37 UTC",-0.3891,124.3559,4.7,48.00,35,"Molucca Sea"
us,c000f3i3,7,"Thursday, February  7, 2013 20:20:06 UTC",-10.8555,165.7064,5.2,10.00,208,"Santa Cruz Islands"
uu,60012622,8,"Thursday, February  7, 2013 20:02:21 UTC",37.7883,-113.1242,3.5,2.10,23,"Utah"
us,c000f3hb,9,"Thursday, February  7, 2013 19:48:19 UTC",-10.8719,165.7172,5.5,10.20,237,"Santa Cruz Islands"
us,c000f3h3,6,"Thursday, February  7, 2013 19:43:12 UTC",-11.0228,165.6294,4.9,10.00,21,"Santa Cruz Islands"
uu,60012602,4,"Thursday, February  7, 2013 19:29:55 UTC",37.8040,-113.1058,3.1,2.40,24,"Utah"
us,c000f3gf,6,"Thursday, February  7, 2013 19:25:15 UTC",-10.9828,165.6772,5.0,9.90,28,"Santa Cruz Islands"
us,c000f3fx,A,"Thursday, February  7, 2013 18:59:16 UTC",-11.0010,165.6582,6.6,10.00,356,"Santa Cruz Islands"
us,c000f3es,4,"Thursday, February  7, 2013 17:59:00 UTC",-10.9392,165.5208,4.8,10.00,28,"Santa Cruz Islands"
pr,13038004,0,"Thursday, February  7, 2013 17:58:48 UTC",18.8400,-67.2502,2.9,11.00,17,"Puerto Rico region"
us,c000f3f4,2,"Thursday, February  7, 2013 17:49:46 UTC",-11.2378,165.9213,5.1,14.20,41,"Santa Cruz Islands"
pr,13038005,0,"Thursday, February  7, 2013 17:21:47 UTC",18.4883,-65.2873,2.6,102.00, 7,"Puerto Rico region"
us,c000f3c5,5,"Thursday, February  7, 2013 15:37:28 UTC",-21.0867,-67.4252,4.3,173.20,17,"Potosi, Bolivia"
us,c000f3bw,7,"Thursday, February  7, 2013 15:22:39 UTC",-5.6218,103.2605,4.7,63.30,80,"southern Sumatra, Indonesia"
us,c000f3bj,6,"Thursday, February  7, 2013 15:05:11 UTC",-11.0103,165.5869,5.0,35.00,96,"Santa Cruz Islands"
nc,71933130,5,"Thursday, February  7, 2013 15:04:39 UTC",37.4060,-118.6000,3.0,12.00,44,"Central California"
us,c000f37s,6,"Thursday, February  7, 2013 14:05:56 UTC",-11.0284,164.8161,5.0,10.10,154,"Santa Cruz Islands region"
us,c000f36f,8,"Thursday, February  7, 2013 13:46:36 UTC",-10.8257,165.6754,4.8,10.00,34,"Santa Cruz Islands"
us,c000f37u,5,"Thursday, February  7, 2013 13:23:18 UTC",-10.7679,165.4337,4.8,16.20,43,"Santa Cruz Islands"
us,c000f357,7,"Thursday, February  7, 2013 12:36:49 UTC",-10.8226,165.1734,5.1,10.20,158,"Santa Cruz Islands"
us,c000f34k,4,"Thursday, February  7, 2013 11:30:16 UTC",-8.6870,168.2685,4.9,15.20,85,"Santa Cruz Islands region"
ak,10652163,2,"Thursday, February  7, 2013 11:16:31 UTC",55.9614,-135.2848,3.5,10.00,18,"off the coast of Southeastern Alaska"
us,c000f33p,7,"Thursday, February  7, 2013 10:23:29 UTC",-10.6720,164.8745,4.8,21.30,45,"Santa Cruz Islands region"
pr,13038002,0,"Thursday, February  7, 2013 10:14:30 UTC",18.7940,-64.4465,3.2,53.00,18,"Virgin Islands region"
us,c000f33h,6,"Thursday, February  7, 2013 09:50:08 UTC",-11.0482,164.8198,4.7,10.00,78,"Santa Cruz Islands region"
pr,13038003,0,"Thursday, February  7, 2013 09:40:38 UTC",18.5946,-65.1986,2.6,78.00, 4,"Puerto Rico region"
ak,10652144,1,"Thursday, February  7, 2013 09:39:04 UTC",66.0747,-148.2291,3.1,0.10,23,"northern Alaska"
us,c000f33e,4,"Thursday, February  7, 2013 09:36:54 UTC",-6.6073,-74.2908,4.5,163.10,170,"northern Peru"
us,c000f32s,4,"Thursday, February  7, 2013 08:20:42 UTC",-10.6902,164.5970,4.7,10.20,61,"Santa Cruz Islands region"
